Wavenumber,Filter response
10898,0.000734
10899,0.000734
10900,0.000733
10901,0.000733
10902,0.000733
10903,0.000733
10904,0.000733
10905,0.000746
10906,0.00076
10907,0.000774
10908,0.000788
10909,0.000796
10910,0.000802
10911,0.000808
10912,0.000814
10913,0.000819
10914,0.000825
10915,0.000831
10916,0.000836
10917,0.000842
10918,0.000848
10919,0.000853
10920,0.000859
10921,0.000865
10922,0.000871
10923,0.000877
10924,0.000886
10925,0.000895
10926,0.000903
10927,0.000912
10928,0.00092
10929,0.000929
10930,0.000938
10931,0.000946
10932,0.000955
10933,0.000964
10934,0.000968
10935,0.000971
10936,0.000975
10937,0.000978
10938,0.000981
10939,0.000984
10940,0.000987
10941,0.00099
10942,0.000993
10943,0.000997
10944,0.001
10945,0.001003
10946,0.001006
10947,0.001009
10948,0.001012
10949,0.001024
10950,0.001036
10951,0.001048
10952,0.001059
10953,0.001071
10954,0.001083
10955,0.001095
10956,0.001107
10957,0.001118
10958,0.00113
10959,0.001142
10960,0.001153
10961,0.001163
10962,0.001173
10963,0.001182
10964,0.001192
10965,0.001202
10966,0.001211
10967,0.001221
10968,0.001231
10969,0.00124
10970,0.00125
10971,0.00126
10972,0.001274
10973,0.001288
10974,0.001302
10975,0.001316
10976,0.00133
10977,0.001344
10978,0.001359
10979,0.001373
10980,0.001387
10981,0.001401
10982,0.001415
10983,0.001429
10984,0.001443
10985,0.001458
10986,0.001473
10987,0.001488
10988,0.001503
10989,0.001517
10990,0.001532
10991,0.001547
10992,0.001562
10993,0.001576
10994,0.001591
10995,0.001606
10996,0.001622
10997,0.001638
10998,0.001654
10999,0.00167
11000,0.001686
11001,0.001703
11002,0.001719
11003,0.001735
11004,0.001751
11005,0.001767
11006,0.001783
11007,0.001799
11008,0.001815
11009,0.001831
11010,0.001851
11011,0.001873
11012,0.001894
11013,0.001915
11014,0.001937
11015,0.001958
11016,0.00198
11017,0.002001
11018,0.002022
11019,0.002044
11020,0.002065
11021,0.002087
11022,0.00211
11023,0.002134
11024,0.002158
11025,0.002182
11026,0.002206
11027,0.00223
11028,0.002254
11029,0.002278
11030,0.002302
11031,0.002326
11032,0.00235
11033,0.002374
11034,0.002398
11035,0.002422
11036,0.002448
11037,0.002474
11038,0.0025
11039,0.002526
11040,0.002553
11041,0.002579
11042,0.002605
11043,0.002631
11044,0.002657
11045,0.002683
11046,0.002709
11047,0.002737
11048,0.002774
11049,0.00281
11050,0.002846
11051,0.002883
11052,0.002919
11053,0.002956
11054,0.002992
11055,0.003028
11056,0.003065
11057,0.003101
11058,0.003137
11059,0.003174
11060,0.00321
11061,0.003255
11062,0.003305
11063,0.003355
11064,0.003405
11065,0.003455
11066,0.003505
11067,0.003556
11068,0.003606
11069,0.003656
11070,0.003706
11071,0.003756
11072,0.003806
11073,0.003861
11074,0.00392
11075,0.003978
11076,0.004037
11077,0.004096
11078,0.004155
11079,0.004213
11080,0.004272
11081,0.004331
11082,0.00439
11083,0.004448
11084,0.004507
11085,0.004568
11086,0.00463
11087,0.004693
11088,0.004755
11089,0.004818
11090,0.00488
11091,0.004942
11092,0.005005
11093,0.005067
11094,0.005129
11095,0.005192
11096,0.005254
11097,0.005317
11098,0.005393
11099,0.005485
11100,0.005577
11101,0.00567
11102,0.005762
11103,0.005854
11104,0.005946
11105,0.006038
11106,0.00613
11107,0.006223
11108,0.006315
11109,0.006416
11110,0.006521
11111,0.006626
11112,0.006731
11113,0.006836
11114,0.00694
11115,0.007045
11116,0.00715
11117,0.007255
11118,0.00736
11119,0.007464
11120,0.007569
11121,0.007674
11122,0.007779
11123,0.007885
11124,0.008002
11125,0.008118
11126,0.008234
11127,0.008351
11128,0.008467
11129,0.008584
11130,0.008644
11131,0.008391
11132,0.008138
11133,0.007885
11134,0.009234
11135,0.009457
11136,0.009681
11137,0.009793
11138,0.009959
11139,0.010125
11140,0.010291
11141,0.010457
11142,0.010623
11143,0.010789
11144,0.010915
11145,0.011093
11146,0.01127
11147,0.011448
11148,0.011626
11149,0.011804
11150,0.011982
11151,0.012149
11152,0.012367
11153,0.012586
11154,0.01279
11155,0.012968
11156,0.013145
11157,0.013323
11158,0.013563
11159,0.013804
11160,0.014045
11161,0.014273
11162,0.014519
11163,0.014765
11164,0.015015
11165,0.015279
11166,0.015543
11167,0.015807
11168,0.016071
11169,0.016335
11170,0.016599
11171,0.016851
11172,0.017116
11173,0.017382
11174,0.017648
11175,0.017976
11176,0.018305
11177,0.018633
11178,0.01897
11179,0.01931
11180,0.01965
11181,0.020026
11182,0.020377
11183,0.020729
11184,0.021081
11185,0.021432
11186,0.021784
11187,0.022135
11188,0.022515
11189,0.022955
11190,0.023395
11191,0.023835
